

Data analysis for each instance 
AVG,MED,MAX,MIN
0.338,0.369,0.489,-0.028,
0.343,0.37,0.458,-0.063,
0.293,0.313,0.395,0.032,
0.311,0.344,0.396,0.025,
0.348,0.391,0.45,-0.017,
0.295,0.339,0.384,0.042,
0.288,0.3,0.436,0.051,
0.348,0.388,0.441,-0.032,
0.329,0.356,0.44,0.035,
0.324,0.347,0.549,-0.015,
0.312,0.345,0.446,0.032,
0.281,0.284,0.394,0.046,
0.284,0.308,0.393,0.044,
0.35,0.394,0.463,-0.052,
0.369,0.41,0.484,-0.034,
0.32,0.351,0.394,0.01,
0.318,0.341,0.394,0.043,
0.363,0.406,0.45,-0.032,
0.296,0.325,0.452,0.038,
0.294,0.308,0.444,0.017,
0.34,0.362,0.429,0.03,
0.341,0.367,0.453,-0.032,
0.315,0.336,0.397,0.03,
0.348,0.375,0.421,0.067,
0.337,0.36,0.453,-0.045,
0.343,0.374,0.43,0.003,
0.329,0.326,0.449,0.085,
0.336,0.369,0.488,-0.035,
0.309,0.35,0.381,-0.009,
0.327,0.355,0.408,0.036,
0.348,0.382,0.428,-0.005,
0.354,0.389,0.471,-0.045,
0.253,0.266,0.413,0.03,
0.312,0.35,0.411,0.005,
0.342,0.36,0.461,0.039,
0.235,0.244,0.34,0.015,
0.268,0.287,0.386,-0.004,
0.322,0.324,0.452,-0.005,
0.327,0.362,0.445,-0.009,
0.357,0.388,0.464,-0.007,
0.287,0.313,0.357,0.028,
0.25,0.251,0.397,0.042,
0.283,0.306,0.375,0.056,
0.317,0.334,0.416,0.017,
0.37,0.415,0.482,-0.045,
0.279,0.296,0.394,0.027,
0.311,0.321,0.459,0.018,
0.346,0.377,0.463,0.027,
0.261,0.281,0.387,0.017,
0.272,0.312,0.34,-0.014,
0.318,0.335,0.423,0.035,
0.353,0.387,0.433,0.002,
0.27,0.287,0.354,-0.01,
0.325,0.325,0.443,0.06,
0.307,0.332,0.426,0.014,
0.34,0.363,0.491,-0.011,
0.29,0.294,0.417,0.014,
0.358,0.417,0.454,-0.084,
0.331,0.367,0.439,-0.037,
0.337,0.355,0.487,0.037,
0.323,0.347,0.408,0.036,
0.316,0.343,0.475,0.014,
0.339,0.36,0.498,-0.066,
0.296,0.321,0.383,0.033,
0.348,0.382,0.475,0.029,
0.353,0.394,0.434,-0.035,
0.283,0.31,0.359,0.006,
0.264,0.308,0.34,-0.025,
0.352,0.37,0.483,-0.01,
0.295,0.328,0.391,-0.067,
0.324,0.334,0.463,-0.009,
0.311,0.322,0.466,0.048,
0.26,0.266,0.396,0.003,
0.331,0.37,0.415,0.015,
0.342,0.369,0.533,-0.02,
0.288,0.313,0.384,0.024,
0.308,0.325,0.42,0.007,
0.314,0.347,0.392,-0.004,
0.33,0.363,0.491,-0.04,
0.28,0.291,0.408,-0.007,
0.277,0.291,0.364,0.024,
0.362,0.386,0.502,-0.022,
0.347,0.37,0.435,-0.029,
0.29,0.311,0.393,-0.005,
0.333,0.355,0.43,0.042,
0.324,0.35,0.404,-0.005,
0.368,0.405,0.479,-0.061,
0.27,0.296,0.382,0.023,
0.336,0.374,0.404,-0.026,
0.348,0.384,0.464,-0.058,
0.341,0.363,0.485,0.016,
0.32,0.337,0.437,0.044,
0.347,0.387,0.444,-0.067,
0.274,0.288,0.417,0.019,
0.342,0.351,0.458,0.016,
0.338,0.369,0.471,-0.037,
0.258,0.259,0.405,0.031,
0.279,0.28,0.407,0.028,
0.318,0.348,0.404,0.036,
0.328,0.36,0.409,-0.031,
0.347,0.386,0.455,-0.046,
0.295,0.295,0.408,0.059,
0.32,0.344,0.429,0.008,
0.343,0.373,0.472,-0.029,
0.325,0.342,0.434,0.033,
0.298,0.339,0.401,-0.008,
0.303,0.325,0.419,0.033,
0.256,0.265,0.347,0.028,
0.358,0.377,0.45,0.061,
0.357,0.39,0.466,-0.042,
0.261,0.287,0.368,-0.01,
0.331,0.341,0.418,0.044,
0.39,0.428,0.498,-0.054,
0.263,0.279,0.381,0.032,
0.345,0.348,0.456,-0.003,
0.35,0.38,0.479,0.038,
0.338,0.36,0.423,-0.001,
0.29,0.319,0.41,0.008,
0.285,0.32,0.33,0.038,
0.315,0.342,0.434,-0.006,
0.362,0.38,0.45,0.059,
0.332,0.363,0.451,0.044,
0.35,0.375,0.47,0.027,
0.34,0.371,0.44,-0.04,
0.271,0.287,0.435,0.058,
0.309,0.325,0.459,0.055,
0.37,0.41,0.515,-0.061,
0.329,0.352,0.434,0.01,
0.293,0.31,0.438,-0.024,
0.317,0.334,0.402,0.062,
0.348,0.364,0.468,0.025,
0.279,0.312,0.354,0.008,
0.311,0.334,0.414,0.026,
0.322,0.371,0.422,-0.032,
0.353,0.399,0.434,-0.062,
0.365,0.405,0.471,-0.05,
0.297,0.316,0.423,0.007,
0.281,0.303,0.399,0.024,
0.323,0.363,0.404,-0.009,
0.329,0.363,0.478,-0.081,
0.292,0.288,0.432,0.032,
0.336,0.362,0.438,0.004,
0.317,0.331,0.391,0.038,
0.347,0.37,0.457,-0.071,
0.267,0.271,0.393,0.016,
0.284,0.3,0.404,0.002,
0.324,0.339,0.45,0.061,
0.351,0.374,0.497,0.002,
0.307,0.324,0.395,0.068,
0.321,0.333,0.426,0.03,
0.377,0.417,0.475,-0.055,
0.309,0.359,0.435,-0.113,
0.379,0.432,0.47,-0.036,
0.354,0.387,0.485,-0.068,
0.335,0.371,0.493,-0.054,
0.269,0.31,0.358,-0.036,
0.325,0.354,0.467,-0.016,
0.295,0.311,0.406,-0.007,
0.27,0.3,0.375,0.032,
0.297,0.308,0.426,-0.019,
0.331,0.367,0.445,-0.025,
0.341,0.391,0.436,-0.042,
0.287,0.298,0.392,-0.006,
0.302,0.322,0.411,0.035,
0.334,0.367,0.453,-0.06,
0.299,0.33,0.378,0.011,
0.316,0.347,0.439,0.031,
0.328,0.347,0.434,-0.026,
0.347,0.374,0.422,0.05,
0.331,0.35,0.467,0.047,
0.301,0.31,0.436,-0.005,
0.304,0.329,0.401,0.052,
0.315,0.323,0.457,0.05,
0.358,0.386,0.513,-0.043,
0.324,0.356,0.463,-0.07,
0.286,0.295,0.421,0.034,
0.33,0.37,0.455,-0.024,
0.338,0.361,0.475,0.019,
0.342,0.38,0.447,-0.007,
0.304,0.329,0.401,0.033,
0.326,0.337,0.454,0.024,
0.338,0.36,0.452,0.044,
0.298,0.32,0.486,0.012,
0.338,0.368,0.396,0.043,
0.345,0.382,0.467,-0.05,
0.312,0.338,0.404,0.003,
0.323,0.359,0.394,0.039,
0.361,0.405,0.469,-0.073,
0.282,0.302,0.379,0.021,
0.299,0.303,0.412,0.024,
0.352,0.379,0.506,0.017,
0.344,0.37,0.468,-0.07,
0.348,0.367,0.469,-0.041,
0.327,0.341,0.445,0.058,
0.315,0.34,0.452,0.011,
0.317,0.35,0.44,-0.009,
0.32,0.35,0.413,-0.031,
0.264,0.285,0.364,0.028,
0.322,0.336,0.423,0.06,
0.326,0.36,0.415,-0.039,
