

Data analysis for each instance 
AVG,MED,MAX,MIN
-0.001,-0.028,0.236,-0.056,
0.117,0.131,0.187,0.027,
0.005,-0.012,0.145,-0.132,
0.331,0.367,0.404,0.072,
0.082,0.083,0.121,0.02,
0.026,0.048,0.124,-0.124,
-0.044,-0.038,0.089,-0.175,
-0.025,-0.036,0.047,-0.102,
0.172,0.198,0.236,-0.06,
0.119,0.124,0.225,-0.001,
0.11,0.102,0.241,0.012,
-0.004,-0.011,0.09,-0.175,
0.169,0.167,0.264,0.057,
0.024,0.006,0.088,-0.015,
0.123,0.12,0.19,0.018,
0.231,0.245,0.298,0.048,
0.163,0.182,0.207,0.01,
0.059,0.047,0.134,0.016,
0.016,0.028,0.112,-0.185,
0.131,0.144,0.228,-0.122,
0.287,0.316,0.374,0.039,
0.053,0.093,0.139,-0.066,
-0.125,-0.12,-0.087,-0.196,
0.166,0.188,0.242,-0.025,
0.049,0.043,0.122,-0.004,
0.311,0.331,0.408,0.101,
0.26,0.296,0.333,0.043,
-0.064,-0.076,0.228,-0.176,
0.165,0.183,0.28,0.035,
0.221,0.25,0.355,-0.112,
0.066,0.064,0.123,-0.017,
-0.051,-0.062,0.172,-0.141,
0.216,0.22,0.308,0.106,
0.198,0.194,0.356,0.049,
0.324,0.33,0.421,0.127,
-0.014,-0.013,0.107,-0.187,
0.048,0.082,0.16,-0.217,
0.272,0.288,0.393,0.097,
0.01,0.037,0.086,-0.097,
-0.09,-0.113,0.158,-0.179,
0.107,0.112,0.193,-0.031,
0.075,0.079,0.197,-0.178,
0.115,0.143,0.252,-0.098,
0.153,0.151,0.292,-0.058,
0.008,-0.013,0.088,-0.04,
0.023,0.037,0.121,-0.085,
0.199,0.199,0.291,0.083,
0.358,0.392,0.462,0.133,
0.022,0.012,0.212,-0.124,
0.031,0.029,0.121,-0.088,
0.318,0.365,0.38,0.052,
0.052,0.034,0.2,-0.055,
0.15,0.183,0.288,-0.184,
0.251,0.283,0.316,0.1,
0.221,0.251,0.305,0.047,
0.005,0.019,0.137,-0.091,
0.251,0.264,0.345,0.058,
0.066,0.074,0.158,-0.045,
0.073,0.074,0.152,-0.032,
0.23,0.243,0.311,0.068,
0.26,0.286,0.321,-0.008,
-0.048,-0.054,0.131,-0.108,
0.029,0.037,0.102,-0.045,
0.078,0.075,0.161,-0.017,
0.315,0.335,0.383,0.121,
0.064,0.066,0.129,-0.073,
-0.181,-0.17,-0.116,-0.256,
0.167,0.168,0.242,0.078,
-0.059,-0.076,0.031,-0.12,
0.071,0.067,0.156,0.013,
0.139,0.159,0.2,0.013,
0.308,0.339,0.398,0.035,
0.081,0.117,0.204,-0.117,
0.281,0.296,0.366,0.068,
0.034,0.022,0.137,-0.039,
0.041,0.036,0.106,-0.048,
0.246,0.265,0.322,0.043,
0.2,0.223,0.295,-0.078,
0.008,0.007,0.084,-0.067,
0.061,0.082,0.147,-0.145,
0.097,0.104,0.17,-0.008,
0.049,0.039,0.159,-0.043,
0.076,0.09,0.121,-0.028,
0.15,0.183,0.232,-0.069,
0.233,0.259,0.32,0.007,
0.256,0.259,0.332,0.109,
-0.001,0.004,0.094,-0.104,
0.189,0.214,0.288,-0.02,
0.057,0.101,0.136,-0.052,
0.027,0.026,0.096,-0.043,
0.174,0.181,0.238,0.083,
0.294,0.327,0.365,0.066,
0.072,0.078,0.171,-0.022,
-0.074,-0.085,0.031,-0.13,
0.29,0.322,0.447,-0.058,
0.085,0.072,0.148,0.02,
0.167,0.171,0.264,0.053,
0.034,0.05,0.143,-0.185,
0.208,0.232,0.265,0.079,
0.281,0.311,0.345,0.1,
0.036,0.035,0.096,-0.048,
-0.043,-0.049,0.098,-0.145,
0.273,0.294,0.329,0.091,
0.029,0.03,0.116,-0.057,
0.231,0.235,0.314,0.073,
0.075,0.114,0.184,-0.088,
-0.016,0.002,0.072,-0.15,
0.041,0.048,0.108,-0.119,
0.292,0.33,0.372,-0.011,
0.084,0.087,0.139,0.03,
0.034,0.065,0.147,-0.216,
0.278,0.288,0.333,0.078,
-0.016,-0.043,0.147,-0.096,
0.111,0.131,0.203,-0.083,
