

Data analysis for each instance 
AVG,MED,MAX,MIN
-0.038,-0.038,0,-0.049,
-0.01,-0.013,0.054,-0.03,
-0.045,-0.052,0,-0.052,
0.048,0.048,0.138,-0.027,
-0.02,-0.019,0,-0.049,
-0.029,-0.029,0,-0.029,
-0.035,-0.035,0,-0.035,
-0.024,-0.018,0.003,-0.042,
-0.018,-0.016,0.02,-0.043,
0.08,0.085,0.185,-0.055,
0.004,0,0.114,-0.044,
0.061,0.065,0.089,-0.045,
-0.032,-0.032,0,-0.032,
0.226,0.236,0.265,0,
-0.026,-0.026,0,-0.027,
-0.03,-0.03,0,-0.03,
0.18,0.197,0.212,0,
0.029,0.029,0.16,-0.052,
0.116,0.122,0.227,-0.049,
0.172,0.184,0.231,0,
0.012,0.015,0.063,-0.034,
0.155,0.169,0.211,0,
0.176,0.185,0.223,-0.051,
0.1,0.103,0.156,0,
-0.038,-0.038,0,-0.039,
0.016,0.015,0.08,-0.028,
-0.026,-0.032,0,-0.033,
0.072,0.074,0.128,-0.005,
-0.018,-0.018,0,-0.045,
0.136,0.138,0.153,0,
0.171,0.175,0.24,0,
-0.041,-0.045,0,-0.045,
0.033,0.027,0.101,-0.032,
-0.019,-0.025,0.001,-0.027,
0.088,0.086,0.18,-0.026,
-0.033,-0.033,0,-0.035,
-0.033,-0.033,0,-0.035,
-0.026,-0.026,0,-0.026,
-0.028,-0.033,0.004,-0.035,
-0.029,-0.029,0,-0.03,
-0.037,-0.036,0,-0.039,
0.114,0.12,0.138,-0.015,
-0.019,-0.022,0,-0.022,
0.108,0.106,0.173,0,
0.24,0.25,0.25,0,
-0.013,-0.009,0.015,-0.026,
0.018,0.016,0.132,-0.032,
0.133,0.128,0.196,-0.046,
-0.028,-0.029,0,-0.029,
0.277,0.282,0.293,0,
0.129,0.136,0.207,0,
-0.021,-0.021,0.021,-0.043,
-0.035,-0.035,0,-0.035,
0.209,0.22,0.241,-0.014,
-0.04,-0.041,0,-0.041,
0.094,0.091,0.155,-0.039,
0.227,0.232,0.285,0,
-0.035,-0.041,0,-0.042,
0.013,0.005,0.113,-0.035,
-0.03,-0.03,0,-0.03,
-0.028,-0.03,0,-0.03,
0.012,0.009,0.051,-0.029,
-0.016,-0.016,0.027,-0.047,
-0.041,-0.041,0,-0.042,
-0.023,-0.023,0,-0.023,
-0.032,-0.032,0,-0.032,
0.29,0.305,0.332,0,
-0.047,-0.048,0,-0.048,
0.196,0.204,0.279,0,
0.16,0.175,0.194,0,
0.196,0.219,0.221,-0.019,
0.059,0.062,0.133,-0.04,
-0.003,-0.006,0.09,-0.035,
-0.025,-0.03,0,-0.032,
0.182,0.217,0.219,-0.038,
0.025,0.026,0.049,-0.043,
-0.018,-0.018,0.006,-0.038,
-0.016,-0.016,0.021,-0.036,
-0.035,-0.035,0,-0.035,
-0.017,-0.023,0.023,-0.052,
-0.033,-0.033,0,-0.033,
0.227,0.261,0.297,0,
0.224,0.249,0.288,0,
0.011,0.01,0.138,-0.044,
-0.007,-0.009,0.025,-0.024,
0.051,0.046,0.165,-0.042,
0.181,0.193,0.213,-0.046,
-0.021,-0.019,0.039,-0.042,
0.284,0.292,0.292,0,
0.024,0.014,0.088,-0.038,
0.164,0.173,0.234,0,
-0.029,-0.03,0,-0.03,
-0.03,-0.03,0,-0.03,
-0.023,-0.019,0.02,-0.061,
0.224,0.203,0.254,0,
0.173,0.183,0.253,-0.028,
-0.032,-0.032,0,-0.032,
0.069,0.078,0.147,-0.03,
-0.039,-0.039,0,-0.039,
0.011,0.003,0.099,-0.03,
-0.033,-0.033,0,-0.033,
-0.023,-0.028,0.004,-0.032,
0.06,0.073,0.131,-0.046,
-0.006,-0.01,0.067,-0.032,
0.116,0.116,0.226,-0.053,
0.096,0.105,0.177,0,
0.143,0.146,0.213,-0.039,
0.068,0.074,0.153,-0.038,
0.109,0.116,0.168,-0.057,
-0.034,-0.033,0,-0.035,
0.317,0.324,0.357,0,
0.036,0.031,0.187,-0.036,
-0.031,-0.031,0,-0.032,
0.099,0.096,0.207,-0.028,
-0.029,-0.029,0,-0.029,
-0.029,-0.029,0,-0.029,
0.005,0.003,0.072,-0.032,
0.077,0.074,0.128,-0.036,
-0.044,-0.046,0,-0.046,
-0.006,-0.009,0.035,-0.024,
0.069,0.065,0.153,-0.023,
0.189,0.216,0.227,0,
0.068,0.078,0.16,-0.043,
0.21,0.213,0.238,0,
0.061,0.058,0.131,-0.034,
0.225,0.245,0.246,-0.005,
-0.009,-0.012,0.038,-0.036,
-0.026,-0.026,0,-0.026,
-0.033,-0.033,0,-0.035,
-0.046,-0.046,0,-0.048,
-0.043,-0.043,0,-0.044,
0.153,0.165,0.171,-0.047,
-0.042,-0.043,0,-0.043,
-0.037,-0.039,0,-0.04,
-0.029,-0.029,0,-0.03,
-0.032,-0.032,0,-0.032,
0.039,0.033,0.122,-0.03,
-0.034,-0.041,0,-0.043,
0.171,0.185,0.223,-0.079,
-0.013,-0.017,0.026,-0.042,
0.076,0.078,0.134,0,
-0.025,-0.026,0,-0.026,
-0.038,-0.038,0,-0.039,
0.009,0.01,0.046,-0.026,
0.117,0.115,0.202,0,
-0.033,-0.033,0,-0.035,
0.036,0.029,0.107,-0.035,
-0.023,-0.026,0.021,-0.038,
0.05,0.05,0.114,-0.001,
0.173,0.181,0.19,0,
0.04,0.038,0.113,-0.031,
0.076,0.077,0.196,-0.031,
0.259,0.266,0.27,0,
0.092,0.093,0.152,-0.035,
-0.025,-0.026,0,-0.026,
0.093,0.091,0.181,0,
-0.03,-0.03,0,-0.03,
-0.017,-0.025,0.024,-0.03,
-0.036,-0.036,0,-0.036,
0.148,0.158,0.247,0,
-0.027,-0.035,0.026,-0.038,
0.196,0.186,0.217,0,
-0.028,-0.03,0,-0.03,
0.055,0.061,0.11,-0.045,
0.088,0.09,0.182,-0.035,
0.087,0.096,0.191,-0.028,
-0.032,-0.032,0,-0.033,
-0.033,-0.033,0,-0.033,
0.145,0.166,0.168,-0.049,
0.002,0.007,0.042,-0.029,
-0.003,-0.01,0.099,-0.034,
-0.029,-0.029,0,-0.03,
0.002,0.005,0.052,-0.047,
0.183,0.205,0.268,0,
-0.033,-0.033,0,-0.033,
0.094,0.092,0.104,-0.042,
0.032,0.029,0.093,-0.044,
-0.025,-0.03,0.021,-0.032,
-0.038,-0.038,0,-0.038,
0.025,0.023,0.063,-0.035,
0.138,0.146,0.18,-0.046,
-0.014,-0.014,0.033,-0.032,
0.002,-0.008,0.082,-0.044,
0.032,0.015,0.107,-0.035,
-0.005,-0.014,0.028,-0.045,
-0.022,-0.027,0.004,-0.027,
-0.014,-0.013,0.046,-0.03,
0.078,0.081,0.167,-0.035,
0.27,0.282,0.304,0,
-0.03,-0.03,0,-0.03,
0.19,0.218,0.239,-0.002,
-0.014,-0.012,0.04,-0.03,
-0.036,-0.036,0,-0.038,
0.007,0.007,0.077,-0.026,
-0.042,-0.042,0,-0.043,
0.269,0.271,0.293,0,
-0.029,-0.029,0,-0.03,
-0.024,-0.024,0,-0.024,
-0.029,-0.029,0,-0.03,
0.155,0.158,0.215,0,
-0.03,-0.03,0,-0.03,
-0.034,-0.045,0.056,-0.045,
0.348,0.359,0.414,0,
-0.03,-0.03,0,-0.032,
-0.027,-0.027,0,-0.027,
0.085,0.098,0.105,-0.042,
0.038,0.035,0.147,-0.034,
0.08,0.08,0.186,0,
0.038,0.039,0.151,-0.016,
-0.035,-0.044,0.091,-0.045,
-0.024,-0.036,0.05,-0.041,
0.018,0.018,0.056,-0.031,
0.03,0.027,0.102,-0.041,
0.039,0.034,0.145,-0.032,
0.016,0.015,0.108,-0.032,
-0.032,-0.032,0,-0.032,
0.004,0,0.085,-0.075,
0.059,0.067,0.15,-0.072,
0.206,0.227,0.228,-0.007,
0.29,0.293,0.332,0,
0.014,0.009,0.095,-0.033,
0.01,0.006,0.115,-0.039,
0.1,0.1,0.213,-0.035,
0.03,0.028,0.091,-0.028,
-0.008,-0.01,0.027,-0.033,
0.181,0.187,0.202,-0.008,
-0.029,-0.029,0,-0.029,
0.171,0.172,0.241,0,
0.049,0.05,0.109,-0.026,
-0.009,-0.005,0.065,-0.042,
-0.029,-0.03,0,-0.032,
-0.019,-0.019,0.014,-0.048,
-0.035,-0.035,0,-0.035,
0.026,0.031,0.103,-0.057,
0.1,0.1,0.211,0,
-0.009,-0.013,0.081,-0.034,
0.112,0.115,0.198,-0.034,
0.006,0.003,0.052,-0.045,
-0.027,-0.027,0,-0.027,
0.172,0.18,0.25,-0.023,
0.012,0.015,0.048,-0.026,
0.065,0.066,0.179,-0.041,
0.098,0.097,0.131,0,
-0.033,-0.033,0,-0.033,
0.045,0.04,0.118,-0.009,
0.011,0.006,0.102,-0.045,
