

Data analysis for each instance 
AVG,MED,MAX,MIN
-0.047,-0.048,0,-0.062,
-0.055,-0.036,0.05,-0.115,
-0.062,-0.061,0,-0.083,
-0.033,-0.033,0,-0.042,
-0.065,-0.065,0,-0.087,
-0.042,-0.041,0,-0.081,
-0.031,-0.03,0,-0.043,
-0.054,-0.055,0,-0.066,
-0.051,-0.054,0,-0.062,
0.034,0.043,0.059,-0.061,
-0.021,-0.014,0.004,-0.067,
-0.024,-0.017,0,-0.061,
-0.035,-0.035,0,-0.043,
0.167,0.177,0.179,0,
-0.032,-0.033,0,-0.043,
-0.034,-0.034,0,-0.048,
0.095,0.1,0.159,-0.042,
-0.053,-0.056,0.023,-0.075,
0.038,0.054,0.128,-0.044,
0.061,0.064,0.094,0,
-0.033,-0.032,0,-0.057,
0.127,0.135,0.191,-0.053,
-0.045,-0.046,0.021,-0.073,
0.011,0.008,0.08,-0.033,
-0.048,-0.048,0,-0.064,
-0.034,-0.035,0,-0.044,
-0.034,-0.037,0,-0.04,
-0.015,-0.015,0.018,-0.036,
-0.056,-0.048,0,-0.113,
0.096,0.095,0.133,0,
0.132,0.137,0.189,-0.031,
-0.056,-0.056,0,-0.127,
-0.044,-0.046,0,-0.059,
-0.032,-0.033,0,-0.038,
-0.02,-0.022,0,-0.04,
-0.04,-0.04,0,-0.049,
-0.039,-0.039,0,-0.047,
-0.03,-0.031,0,-0.033,
-0.039,-0.038,0,-0.06,
-0.038,-0.038,0.015,-0.093,
-0.042,-0.051,0,-0.063,
-0.021,-0.024,0.051,-0.076,
-0.052,-0.064,0,-0.069,
0.074,0.073,0.09,-0.052,
0.06,0.072,0.161,-0.051,
-0.029,-0.029,0,-0.033,
-0.01,-0.006,0.015,-0.061,
-0.061,-0.06,0,-0.095,
-0.022,-0.02,0,-0.035,
0.064,0.058,0.16,0,
0.096,0.112,0.112,-0.017,
-0.067,-0.061,0,-0.087,
-0.037,-0.036,0,-0.075,
-0.006,-0.013,0.083,-0.056,
-0.058,-0.053,0,-0.151,
-0.052,-0.055,0.024,-0.078,
0.138,0.146,0.155,0,
-0.046,-0.046,0,-0.061,
-0.027,-0.029,0.001,-0.051,
-0.034,-0.034,0,-0.04,
-0.035,-0.036,0,-0.042,
-0.032,-0.033,0,-0.038,
-0.042,-0.043,0,-0.052,
-0.043,-0.042,0,-0.052,
-0.024,-0.026,0,-0.044,
-0.042,-0.041,0,-0.052,
