

Data analysis for each instance 
AVG,MED,MAX,MIN
0.563,0.565,1,0.479,
0.575,0.567,1,0.483,
0.548,0.551,0.953,0.489,
0.567,0.569,1,0.499,
0.54,0.539,0.974,0.421,
0.564,0.56,0.998,0.498,
0.537,0.537,0.94,0.458,
0.549,0.55,1,0.412,
0.547,0.54,1,0.458,
0.541,0.54,1,0.462,
0.537,0.548,1,0.428,
0.537,0.538,1,0.445,
0.557,0.558,1,0.484,
0.546,0.552,1,0.447,
0.556,0.558,1,0.484,
0.583,0.58,0.98,0.55,
0.557,0.567,1,0.392,
0.566,0.574,1,0.462,
0.554,0.553,1,0.478,
0.579,0.588,1,0.449,
0.567,0.565,1,0.474,
0.536,0.532,1,0.449,
0.53,0.533,0.984,0.504,
0.558,0.559,1,0.483,
0.56,0.56,1,0.468,
0.57,0.565,1,0.529,
0.554,0.55,1,0.507,
0.56,0.558,1,0.49,
0.566,0.56,1,0.505,
0.533,0.53,1,0.432,
0.554,0.554,1,0.503,
0.548,0.546,0.93,0.398,
0.558,0.556,1,0.458,
0.574,0.57,1,0.51,
0.557,0.562,1,0.457,
0.548,0.546,1,0.448,
0.551,0.552,0.994,0.466,
0.575,0.575,1,0.498,
0.558,0.556,1,0.477,
0.542,0.539,0.943,0.459,
0.562,0.577,1,0.477,
0.535,0.531,0.979,0.4,
0.544,0.539,1,0.477,
0.546,0.554,1,0.458,
0.581,0.577,1,0.541,
0.554,0.554,1,0.47,
0.547,0.548,1,0.46,
0.559,0.56,1,0.503,
0.561,0.556,1,0.506,
0.567,0.575,1,0.519,
0.58,0.591,1,0.506,
0.563,0.562,1,0.511,
0.566,0.563,1,0.509,
0.558,0.556,0.994,0.515,
0.521,0.524,0.902,0.458,
0.552,0.551,1,0.447,
0.526,0.522,1,0.444,
0.57,0.569,1,0.525,
0.546,0.546,0.978,0.468,
0.558,0.552,1,0.484,
0.561,0.558,1,0.503,
0.55,0.547,1,0.501,
0.562,0.565,1,0.478,
0.564,0.568,1,0.48,
0.569,0.567,1,0.503,
0.561,0.56,1,0.463,
0.536,0.54,1,0.418,
0.56,0.558,1,0.497,
0.454,0.454,1,0.393,
0.541,0.537,1,0.429,
0.56,0.562,1,0.482,
0.556,0.551,1,0.482,
0.568,0.571,1,0.481,
0.583,0.592,1,0.518,
0.563,0.562,1,0.456,
0.512,0.506,1,0.431,
0.566,0.563,1,0.511,
0.548,0.548,1,0.485,
0.552,0.548,1,0.438,
0.555,0.552,0.991,0.487,
0.572,0.568,1,0.502,
0.558,0.557,1,0.498,
0.525,0.52,1,0.386,
0.564,0.564,1,0.489,
0.569,0.572,1,0.495,
0.583,0.587,1,0.495,
0.549,0.565,1,0.429,
0.538,0.538,1,0.424,
0.579,0.576,1,0.54,
0.559,0.565,1,0.484,
0.554,0.554,1,0.488,
0.557,0.555,1,0.481,
0.557,0.556,1,0.488,
0.556,0.563,1,0.46,
0.528,0.526,1,0.415,
0.533,0.537,1,0.399,
0.555,0.554,1,0.466,
0.565,0.565,1,0.486,
0.544,0.546,1,0.479,
0.56,0.557,1,0.493,
0.551,0.545,1,0.452,
0.585,0.593,1,0.462,
0.563,0.578,1,0.417,
0.552,0.55,1,0.482,
0.584,0.581,1,0.529,
0.545,0.541,1,0.483,
0.569,0.566,1,0.5,
0.565,0.563,1,0.459,
0.512,0.508,1,0.394,
0.567,0.563,0.992,0.504,
0.584,0.58,1,0.542,
0.546,0.55,1,0.464,
0.553,0.55,1,0.481,
0.57,0.566,0.971,0.529,
0.577,0.579,0.997,0.528,
0.555,0.553,1,0.46,
0.561,0.562,1,0.461,
0.558,0.554,1,0.506,
0.565,0.562,1,0.466,
0.552,0.552,1,0.483,
0.556,0.554,1,0.493,
0.545,0.546,1,0.461,
0.54,0.54,1,0.414,
0.553,0.55,1,0.398,
0.552,0.553,1,0.42,
0.574,0.575,1,0.521,
0.566,0.565,1,0.501,
0.569,0.569,1,0.476,
0.554,0.553,1,0.485,
0.564,0.554,1,0.499,
0.545,0.542,0.993,0.439,
0.569,0.566,1,0.443,
0.545,0.542,0.96,0.481,
0.548,0.55,1,0.434,
0.566,0.562,1,0.528,
