

Data analysis for each instance 
AVG,MED,MAX,MIN
0.547,0.571,1,0.265,
0.618,0.569,1,0.378,
0.54,0.55,1,0.28,
0.558,0.564,0.956,0.342,
0.529,0.52,0.985,0.323,
0.524,0.515,0.895,0.362,
0.557,0.565,1,0.326,
0.521,0.532,0.927,0.293,
0.601,0.593,0.997,0.432,
0.606,0.595,1,0.393,
0.57,0.581,1,0.318,
0.588,0.572,1,0.384,
0.553,0.561,1,0.31,
0.55,0.546,0.969,0.321,
0.62,0.613,1,0.428,
0.491,0.512,0.872,0.241,
0.612,0.57,1,0.431,
0.557,0.546,0.99,0.394,
0.515,0.524,0.963,0.319,
0.563,0.524,1,0.396,
0.543,0.552,1,0.315,
0.593,0.57,1,0.383,
0.593,0.581,1,0.411,
0.492,0.51,1,0.272,
0.617,0.564,1,0.458,
0.591,0.562,1,0.445,
0.522,0.587,1,0.217,
0.568,0.581,1,0.353,
0.551,0.498,0.994,0.386,
0.578,0.581,0.968,0.364,
0.518,0.491,1,0.351,
0.544,0.558,1,0.313,
0.547,0.557,1,0.286,
0.56,0.589,1,0.305,
0.512,0.536,0.974,0.307,
0.614,0.601,1,0.385,
0.623,0.62,1,0.357,
0.587,0.587,1,0.352,
0.555,0.575,0.957,0.297,
0.568,0.536,0.956,0.412,
0.602,0.597,1,0.403,
0.63,0.619,1,0.421,
0.63,0.605,1,0.466,
0.63,0.63,0.987,0.415,
0.591,0.538,1,0.403,
0.629,0.613,1,0.428,
0.564,0.581,1,0.304,
0.506,0.488,1,0.299,
0.518,0.497,1,0.289,
0.568,0.583,0.976,0.331,
0.527,0.513,0.93,0.322,
0.514,0.518,1,0.312,
0.543,0.542,0.894,0.326,
0.607,0.581,1,0.403,
0.514,0.498,0.912,0.309,
0.564,0.596,1,0.351,
0.572,0.562,1,0.356,
0.539,0.526,1,0.331,
0.553,0.567,1,0.321,
0.543,0.54,0.987,0.33,
0.559,0.544,0.981,0.362,
0.514,0.526,0.87,0.296,
0.578,0.577,0.996,0.291,
0.551,0.562,0.997,0.36,
0.599,0.578,1,0.413,
0.563,0.534,0.918,0.333,
0.549,0.554,0.983,0.35,
0.596,0.583,0.993,0.397,
0.584,0.579,0.987,0.328,
0.577,0.562,1,0.378,
0.54,0.532,1,0.386,
0.538,0.541,1,0.328,
0.517,0.522,0.92,0.344,
0.603,0.579,1,0.435,
0.558,0.611,1,0.315,
0.561,0.536,1,0.335,
0.547,0.569,1,0.295,
0.589,0.571,1,0.374,
0.61,0.583,1,0.424,
0.589,0.583,0.965,0.39,
0.584,0.551,1,0.439,
0.494,0.559,1,0.231,
0.562,0.554,1,0.334,
0.554,0.572,1,0.328,
0.53,0.536,1,0.309,
0.548,0.527,1,0.321,
0.566,0.554,0.95,0.348,
0.573,0.558,0.983,0.375,
0.563,0.571,1,0.344,
0.624,0.633,1,0.423,
0.639,0.637,1,0.421,
0.618,0.562,1,0.408,
0.632,0.584,1,0.497,
0.49,0.481,1,0.284,
0.594,0.586,1,0.386,
0.594,0.633,1,0.361,
0.528,0.542,1,0.282,
0.5,0.475,0.876,0.305,
0.539,0.546,0.961,0.281,
0.554,0.583,0.999,0.302,
0.607,0.615,1,0.403,
0.627,0.625,1,0.439,
0.55,0.534,0.903,0.384,
0.528,0.51,0.91,0.333,
0.578,0.587,0.974,0.352,
0.562,0.55,1,0.327,
0.534,0.544,0.939,0.331,
0.615,0.605,1,0.353,
0.581,0.536,1,0.394,
0.571,0.553,1,0.388,
0.613,0.568,1,0.481,
0.518,0.498,0.866,0.342,
0.557,0.569,0.964,0.336,
0.624,0.606,1,0.338,
0.56,0.532,0.979,0.336,
0.625,0.58,1,0.415,
0.604,0.613,1,0.402,
0.556,0.541,0.958,0.387,
0.55,0.573,1,0.273,
0.526,0.482,0.916,0.397,
0.552,0.536,1,0.371,
0.605,0.601,1,0.416,
0.605,0.593,1,0.403,
0.586,0.575,1,0.32,
0.621,0.609,1,0.36,
0.571,0.571,0.972,0.363,
0.555,0.535,0.972,0.368,
0.637,0.645,1,0.354,
0.604,0.568,1,0.372,
0.555,0.532,0.921,0.346,
0.597,0.579,0.996,0.372,
0.578,0.585,1,0.352,
0.612,0.591,0.993,0.436,
0.616,0.579,1,0.433,
0.506,0.52,0.934,0.3,
0.566,0.555,0.949,0.345,
0.548,0.548,0.976,0.357,
0.553,0.571,1,0.347,
0.559,0.563,0.994,0.336,
0.499,0.562,0.978,0.249,
0.61,0.61,1,0.386,
0.635,0.595,1,0.39,
0.575,0.558,1,0.377,
0.529,0.53,0.957,0.345,
0.595,0.579,1,0.355,
0.535,0.561,0.999,0.301,
0.596,0.562,1,0.386,
0.566,0.538,1,0.351,
0.612,0.61,1,0.342,
0.563,0.577,1,0.316,
0.554,0.532,1,0.3,
0.521,0.545,1,0.267,
0.597,0.599,0.99,0.334,
0.565,0.573,0.944,0.347,
0.621,0.612,1,0.445,
0.537,0.542,0.916,0.292,
0.583,0.573,1,0.365,
0.532,0.526,1,0.32,
0.63,0.623,1,0.414,
0.574,0.565,0.988,0.353,
0.469,0.454,1,0.288,
0.557,0.554,1,0.369,
0.535,0.529,1,0.309,
0.536,0.539,1,0.298,
0.647,0.642,1,0.42,
0.526,0.553,0.988,0.286,
0.578,0.593,0.979,0.357,
0.516,0.536,0.94,0.265,
0.578,0.591,1,0.324,
0.594,0.589,0.977,0.363,
0.535,0.562,1,0.277,
0.58,0.568,1,0.352,
0.577,0.57,1,0.359,
0.641,0.605,1,0.458,
0.489,0.516,0.987,0.271,
0.574,0.579,1,0.373,
0.548,0.52,1,0.364,
0.546,0.579,0.959,0.351,
0.551,0.536,0.93,0.362,
0.6,0.577,1,0.385,
0.508,0.538,0.885,0.292,
0.536,0.552,0.914,0.31,
0.593,0.573,1,0.42,
0.528,0.528,1,0.341,
0.585,0.559,0.99,0.388,
0.525,0.57,1,0.265,
0.618,0.607,1,0.371,
0.563,0.567,1,0.342,
0.597,0.577,1,0.387,
0.616,0.589,1,0.394,
0.574,0.582,1,0.335,
0.593,0.548,1,0.417,
0.59,0.542,1,0.414,
0.599,0.565,1,0.38,
0.542,0.593,1,0.309,
0.553,0.55,0.99,0.342,
0.576,0.594,1,0.302,
0.553,0.542,0.958,0.323,
0.562,0.536,0.966,0.389,
0.574,0.571,0.973,0.356,
0.599,0.579,1,0.4,
0.544,0.528,0.961,0.317,
0.575,0.536,1,0.394,
0.537,0.543,0.958,0.302,
0.542,0.518,1,0.286,
0.562,0.558,1,0.388,
0.558,0.565,0.985,0.323,
0.623,0.609,1,0.411,
0.551,0.526,0.992,0.363,
0.613,0.621,1,0.41,
0.62,0.605,1,0.413,
0.555,0.532,0.918,0.371,
0.553,0.537,0.929,0.394,
0.56,0.544,0.98,0.413,
0.593,0.575,1,0.378,
0.622,0.613,1,0.389,
0.51,0.525,1,0.269,
0.63,0.615,1,0.403,
0.568,0.562,1,0.352,
0.638,0.601,1,0.425,
0.563,0.573,1,0.329,
0.612,0.581,1,0.394,
0.595,0.581,1,0.405,
0.55,0.55,0.988,0.318,
0.543,0.544,0.952,0.349,
0.594,0.566,1,0.406,
0.577,0.591,1,0.333,
0.526,0.542,1,0.295,
0.602,0.575,1,0.403,
0.554,0.555,1,0.291,
0.622,0.617,1,0.428,
0.549,0.554,0.96,0.347,
0.529,0.51,0.951,0.336,
0.643,0.628,1,0.392,
0.512,0.532,1,0.276,
0.627,0.596,1,0.44,
0.52,0.529,1,0.299,
0.52,0.512,0.963,0.338,
0.543,0.569,0.941,0.32,
0.62,0.588,1,0.393,
0.578,0.549,1,0.361,
0.525,0.514,0.877,0.3,
0.598,0.546,1,0.406,
0.595,0.586,1,0.379,
0.581,0.561,1,0.383,
0.597,0.589,0.997,0.402,
0.613,0.577,1,0.424,
0.582,0.595,1,0.275,
0.547,0.567,1,0.29,
0.512,0.554,0.998,0.26,
0.518,0.518,0.884,0.359,
0.554,0.552,0.928,0.36,
0.556,0.526,0.955,0.366,
0.563,0.564,0.968,0.335,
0.583,0.579,1,0.412,
0.517,0.5,1,0.299,
0.533,0.582,1,0.288,
0.502,0.553,0.963,0.245,
0.492,0.526,1,0.212,
0.557,0.526,0.961,0.42,
0.51,0.52,0.985,0.295,
0.573,0.59,0.947,0.334,
0.599,0.592,1,0.39,
0.559,0.534,1,0.355,
0.602,0.571,0.995,0.44,
0.493,0.55,1,0.2,
0.599,0.605,1,0.412,
0.604,0.575,1,0.404,
0.601,0.575,1,0.419,
0.609,0.565,1,0.448,
0.576,0.577,1,0.372,
0.523,0.555,1,0.3,
0.613,0.599,0.996,0.408,
0.51,0.545,0.95,0.259,
0.562,0.555,1,0.302,
0.566,0.573,1,0.359,
0.561,0.504,1,0.391,
0.517,0.549,1,0.252,
0.572,0.568,1,0.369,
0.521,0.526,0.892,0.326,
0.614,0.603,0.994,0.412,
0.531,0.534,0.931,0.309,
0.513,0.544,0.897,0.257,
0.6,0.562,1,0.421,
0.566,0.536,1,0.365,
0.621,0.621,1,0.43,
0.58,0.581,0.983,0.383,
0.594,0.598,1,0.342,
0.499,0.525,0.907,0.303,
0.573,0.563,0.984,0.37,
0.574,0.617,0.988,0.3,
0.571,0.567,1,0.351,
0.553,0.571,1,0.331,
0.524,0.532,0.982,0.265,
0.538,0.528,1,0.316,
0.533,0.54,1,0.301,
0.581,0.541,1,0.44,
0.564,0.577,1,0.325,
0.603,0.564,1,0.415,
0.51,0.495,1,0.28,
0.573,0.585,0.989,0.328,
0.485,0.528,0.909,0.273,
0.537,0.484,0.978,0.385,
0.523,0.524,1,0.294,
0.608,0.583,0.994,0.418,
0.533,0.541,1,0.286,
0.586,0.561,1,0.377,
0.546,0.534,0.995,0.354,
0.561,0.517,1,0.399,
0.585,0.588,1,0.345,
0.596,0.567,1,0.403,
0.575,0.522,0.955,0.436,
0.611,0.595,1,0.321,
0.625,0.603,1,0.401,
0.606,0.55,1,0.405,
0.566,0.593,1,0.314,
0.564,0.536,0.939,0.429,
0.518,0.537,0.946,0.32,
0.53,0.51,1,0.32,
0.558,0.51,1,0.394,
0.621,0.601,1,0.447,
0.556,0.566,1,0.312,
0.532,0.534,0.953,0.323,
0.564,0.569,0.96,0.367,
0.629,0.602,1,0.451,
0.593,0.554,1,0.406,
0.528,0.513,0.911,0.381,
0.612,0.601,1,0.441,
0.577,0.56,1,0.396,
0.549,0.538,1,0.276,
0.517,0.524,1,0.266,
0.602,0.556,1,0.399,
0.482,0.486,0.864,0.271,
0.607,0.611,1,0.344,
0.623,0.611,1,0.427,
0.562,0.522,0.955,0.33,
0.611,0.586,1,0.426,
0.606,0.567,1,0.428,
