

Data analysis for each instance 
AVG,MED,MAX,MIN
0.705,0.669,1,0.664,
0.698,0.657,1,0.654,
0.701,0.659,1,0.646,
0.69,0.643,1,0.638,
0.671,0.63,1,0.625,
0.724,0.69,1,0.689,
0.722,0.685,1,0.683,
0.686,0.637,1,0.632,
0.678,0.659,1,0.596,
0.655,0.609,1,0.597,
0.73,0.688,1,0.687,
0.691,0.667,1,0.629,
0.71,0.669,1,0.661,
0.696,0.657,1,0.631,
0.708,0.675,1,0.662,
0.669,0.637,1,0.585,
0.683,0.637,1,0.626,
0.72,0.683,1,0.668,
0.7,0.659,1,0.656,
0.666,0.621,1,0.601,
0.689,0.654,1,0.625,
0.705,0.665,1,0.664,
0.707,0.673,1,0.659,
0.714,0.686,1,0.659,
0.713,0.674,1,0.664,
0.691,0.653,1,0.625,
0.717,0.677,1,0.661,
0.694,0.655,1,0.649,
0.685,0.629,1,0.62,
0.67,0.603,1,0.592,
0.751,0.711,1,0.707,
0.729,0.691,1,0.672,
0.693,0.661,1,0.636,
0.665,0.627,1,0.581,
0.694,0.655,1,0.649,
0.676,0.635,1,0.61,
0.698,0.669,1,0.641,
0.69,0.641,1,0.64,
0.68,0.637,1,0.633,
0.708,0.671,1,0.658,
0.719,0.683,1,0.675,
0.688,0.649,1,0.638,
0.673,0.629,1,0.623,
0.705,0.674,1,0.655,
0.72,0.679,1,0.66,
0.704,0.666,1,0.634,
0.7,0.668,1,0.645,
0.67,0.627,1,0.625,
0.715,0.675,1,0.661,
0.704,0.662,1,0.655,
0.704,0.661,1,0.657,
0.687,0.651,1,0.623,
0.681,0.636,1,0.631,
0.7,0.663,1,0.649,
0.711,0.67,1,0.668,
0.696,0.656,1,0.654,
0.696,0.663,1,0.635,
0.674,0.642,1,0.621,
0.701,0.662,1,0.653,
0.716,0.674,1,0.671,
0.686,0.647,1,0.637,
0.669,0.633,1,0.596,
0.701,0.662,1,0.651,
0.702,0.667,1,0.631,
0.709,0.679,1,0.656,
0.679,0.645,1,0.626,
0.684,0.635,1,0.63,
0.69,0.647,1,0.645,
0.677,0.63,1,0.627,
0.682,0.649,1,0.626,
0.655,0.605,1,0.602,
0.674,0.634,1,0.606,
0.694,0.659,1,0.637,
0.694,0.657,1,0.644,
0.72,0.68,1,0.666,
0.739,0.694,1,0.694,
0.674,0.625,1,0.622,
0.68,0.64,1,0.609,
0.687,0.654,1,0.61,
0.651,0.606,1,0.582,
0.685,0.641,1,0.634,
0.642,0.593,1,0.583,
0.688,0.641,1,0.635,
0.691,0.663,1,0.636,
0.654,0.601,1,0.599,
0.685,0.634,1,0.617,
0.669,0.621,1,0.616,
0.733,0.693,1,0.691,
0.662,0.614,1,0.613,
0.711,0.671,1,0.671,
0.705,0.66,1,0.655,
0.727,0.69,1,0.672,
0.69,0.649,1,0.644,
0.72,0.679,1,0.665,
0.689,0.639,1,0.638,
0.696,0.654,1,0.651,
0.701,0.66,1,0.64,
0.7,0.659,1,0.642,
0.689,0.65,1,0.632,
0.676,0.627,1,0.605,
0.719,0.686,1,0.666,
0.698,0.667,0.985,0.641,
0.69,0.647,1,0.624,
0.687,0.649,1,0.617,
0.693,0.651,1,0.65,
0.7,0.663,1,0.644,
0.718,0.678,1,0.675,
0.682,0.638,1,0.627,
0.651,0.603,1,0.589,
0.76,0.726,1,0.713,
0.704,0.665,1,0.664,
0.68,0.634,1,0.628,
0.704,0.658,1,0.656,
0.722,0.685,1,0.672,
0.672,0.62,1,0.597,
0.744,0.712,1,0.705,
0.709,0.668,1,0.654,
0.68,0.641,1,0.607,
0.695,0.652,1,0.652,
0.723,0.679,1,0.673,
0.678,0.647,1,0.617,
0.685,0.641,1,0.632,
0.704,0.663,1,0.662,
0.703,0.664,1,0.663,
0.699,0.665,1,0.641,
0.664,0.617,1,0.596,
0.751,0.722,1,0.715,
0.697,0.659,1,0.652,
0.665,0.614,1,0.613,
0.704,0.673,1,0.633,
0.675,0.635,1,0.629,
0.689,0.649,1,0.647,
0.686,0.658,1,0.611,
0.699,0.654,1,0.641,
0.696,0.659,1,0.637,
0.702,0.663,1,0.661,
0.629,0.581,1,0.581,
0.737,0.702,1,0.692,
0.691,0.647,1,0.641,
0.724,0.673,1,0.671,
0.668,0.617,1,0.616,
0.697,0.659,1,0.636,
0.699,0.671,1,0.63,
0.719,0.686,1,0.666,
0.694,0.657,1,0.652,
0.68,0.629,1,0.624,
0.69,0.651,1,0.633,
0.689,0.651,1,0.64,
0.702,0.659,1,0.655,
0.674,0.627,1,0.62,
0.682,0.641,1,0.63,
0.667,0.626,1,0.612,
0.689,0.649,1,0.643,
0.665,0.623,1,0.6,
0.663,0.635,1,0.588,
0.678,0.636,1,0.609,
0.717,0.694,1,0.646,
0.686,0.653,1,0.622,
0.708,0.67,1,0.66,
0.676,0.641,1,0.62,
0.717,0.669,1,0.661,
0.683,0.656,1,0.626,
0.695,0.65,1,0.632,
0.672,0.638,1,0.614,
0.729,0.692,1,0.678,
0.709,0.671,1,0.659,
0.716,0.673,1,0.641,
0.733,0.692,1,0.684,
0.687,0.645,1,0.633,
0.678,0.636,1,0.633,
0.708,0.675,1,0.652,
0.656,0.599,0.981,0.591,
0.694,0.655,1,0.651,
0.682,0.645,1,0.634,
0.712,0.669,1,0.664,
0.69,0.649,1,0.643,
0.688,0.653,1,0.631,
0.701,0.663,1,0.659,
0.696,0.657,1,0.652,
0.711,0.665,1,0.664,
0.645,0.601,0.991,0.597,
0.715,0.685,1,0.671,
0.678,0.641,1,0.604,
0.741,0.71,1,0.699,
0.665,0.637,1,0.589,
0.688,0.647,1,0.636,
0.693,0.652,1,0.641,
0.693,0.643,1,0.638,
0.719,0.683,1,0.673,
0.705,0.663,1,0.646,
0.684,0.649,1,0.625,
0.675,0.633,1,0.63,
0.691,0.655,1,0.65,
0.692,0.656,1,0.615,
0.702,0.667,1,0.662,
0.686,0.649,1,0.638,
0.69,0.643,1,0.635,
0.742,0.705,1,0.695,
0.689,0.663,1,0.619,
0.678,0.64,1,0.632,
0.673,0.625,1,0.597,
0.72,0.68,1,0.678,
0.695,0.655,1,0.653,
0.708,0.667,1,0.644,
0.717,0.675,1,0.673,
0.685,0.649,1,0.644,
