

Data analysis for each instance 
AVG,MED,MAX,MIN
0.276,0.319,0.391,0,
0.265,0.292,0.342,0,
0.264,0.292,0.351,0,
0.311,0.349,0.409,0,
0.298,0.323,0.381,0,
0.295,0.35,0.401,0,
0.266,0.306,0.34,0,
0.296,0.35,0.38,0,
0.304,0.344,0.394,0,
0.269,0.307,0.359,0,
0.265,0.314,0.335,0,
0.29,0.336,0.39,0,
0.292,0.346,0.374,0,
0.275,0.31,0.383,0,
0.275,0.315,0.347,0,
0.316,0.361,0.395,0,
0.311,0.372,0.391,0,
0.299,0.337,0.4,0,
0.293,0.334,0.399,0,
0.302,0.346,0.394,0,
0.315,0.365,0.393,0,
0.25,0.277,0.346,0,
0.308,0.345,0.404,0,
0.293,0.342,0.393,0,
0.288,0.326,0.396,0,
0.296,0.326,0.411,0,
0.315,0.354,0.405,0,
0.277,0.323,0.378,0,
0.304,0.357,0.393,0,
0.288,0.327,0.367,0,
0.271,0.299,0.363,0,
0.285,0.347,0.395,0,
0.283,0.31,0.377,0,
0.267,0.305,0.34,0,
0.265,0.298,0.349,0,
0.284,0.316,0.387,0,
0.257,0.276,0.337,0,
0.289,0.329,0.382,0,
0.225,0.257,0.292,0,
0.282,0.331,0.375,0,
0.302,0.344,0.409,0,
0.308,0.341,0.396,0,
0.314,0.358,0.385,0,
0.304,0.356,0.395,0,
0.304,0.348,0.387,0,
0.269,0.296,0.362,0,
0.302,0.345,0.374,0,
0.283,0.323,0.358,0,
0.314,0.358,0.406,0,
0.251,0.28,0.353,0,
0.307,0.348,0.379,0,
0.259,0.302,0.361,0,
0.306,0.344,0.397,0,
0.306,0.348,0.39,0,
0.298,0.348,0.413,0,
0.296,0.348,0.406,0,
0.289,0.316,0.367,0,
0.26,0.29,0.364,0,
0.267,0.286,0.347,0,
0.299,0.339,0.393,0,
0.268,0.306,0.395,0,
0.248,0.285,0.35,0,
0.279,0.318,0.385,0,
0.264,0.288,0.38,0,
0.317,0.357,0.387,0,
0.249,0.281,0.326,0,
0.283,0.333,0.387,0,
0.25,0.282,0.314,0,
0.22,0.232,0.295,0,
0.272,0.31,0.344,0,
0.266,0.312,0.325,0,
0.301,0.346,0.398,0,
0.284,0.322,0.392,0,
0.264,0.298,0.361,0,
0.284,0.325,0.367,0,
0.309,0.357,0.385,0,
0.305,0.342,0.404,0,
0.301,0.341,0.402,0,
0.28,0.321,0.396,0,
0.284,0.315,0.373,0,
0.311,0.372,0.397,0,
0.259,0.29,0.35,0,
0.287,0.328,0.389,0,
0.289,0.332,0.364,0,
0.302,0.349,0.391,0,
0.305,0.359,0.389,0,
0.3,0.347,0.399,0,
0.311,0.351,0.4,0,
0.258,0.282,0.329,0,
0.297,0.352,0.389,0,
0.311,0.354,0.416,0,
0.317,0.369,0.399,0,
0.272,0.307,0.4,0,
0.251,0.274,0.353,0,
0.292,0.328,0.4,0,
0.265,0.285,0.338,0,
0.296,0.332,0.402,0,
0.28,0.307,0.399,0,
0.31,0.364,0.407,0,
0.306,0.361,0.392,0,
0.275,0.322,0.36,0,
0.324,0.368,0.422,0,
0.24,0.27,0.337,0,
0.264,0.302,0.365,0,
0.296,0.335,0.383,0,
0.292,0.321,0.374,0,
0.259,0.297,0.349,0,
0.29,0.33,0.391,0,
0.302,0.353,0.399,0,
0.263,0.305,0.33,0,
0.283,0.326,0.348,0,
0.286,0.316,0.417,0,
0.263,0.287,0.357,0,
0.309,0.352,0.4,0,
0.304,0.349,0.391,0,
0.299,0.336,0.414,0,
0.279,0.319,0.372,0,
0.285,0.32,0.361,0,
0.269,0.286,0.395,0,
0.302,0.354,0.396,0,
0.303,0.353,0.387,0,
0.314,0.365,0.384,0,
0.321,0.362,0.403,0,
0.273,0.293,0.362,0,
0.289,0.328,0.398,0,
0.292,0.335,0.399,0,
0.236,0.273,0.352,0,
0.292,0.323,0.373,0,
0.292,0.325,0.386,0,
0.288,0.338,0.377,0,
0.273,0.311,0.352,0,
0.285,0.323,0.399,0,
0.301,0.348,0.391,0,
0.261,0.286,0.349,0,
0.25,0.274,0.349,0,
0.275,0.336,0.366,0,
0.293,0.334,0.391,0,
0.269,0.309,0.358,0,
0.315,0.367,0.401,0,
0.294,0.342,0.38,0,
0.321,0.37,0.411,0,
0.303,0.342,0.388,0,
0.295,0.333,0.407,0,
0.287,0.34,0.354,0,
0.261,0.298,0.372,0,
0.278,0.323,0.383,0,
0.299,0.334,0.381,0,
0.274,0.317,0.364,0,
0.294,0.326,0.401,0,
0.314,0.368,0.409,0,
0.247,0.282,0.322,0,
0.261,0.294,0.343,0,
0.266,0.295,0.41,0,
0.258,0.282,0.355,0,
0.289,0.333,0.397,0,
0.291,0.328,0.374,0,
0.294,0.339,0.402,0,
0.275,0.334,0.354,0,
0.311,0.358,0.396,0,
0.278,0.346,0.366,0,
0.297,0.334,0.381,0,
0.29,0.337,0.371,0,
0.299,0.346,0.389,0,
0.315,0.366,0.389,0,
0.257,0.29,0.358,0,
0.29,0.33,0.385,0,
0.262,0.291,0.351,0,
0.256,0.295,0.355,0,
0.305,0.347,0.396,0,
0.264,0.299,0.342,0,
0.297,0.327,0.415,0,
0.263,0.303,0.341,0,
0.317,0.373,0.406,0,
0.294,0.337,0.381,0,
0.269,0.306,0.346,0,
0.301,0.345,0.377,0,
0.291,0.338,0.376,0,
0.269,0.3,0.357,0,
0.268,0.317,0.357,0,
