

Data analysis for each instance 
AVG,MED,MAX,MIN
0.518,0.443,1,0.44,
0.521,0.453,1,0.445,
0.529,0.462,1,0.454,
0.503,0.425,1,0.425,
0.518,0.445,1,0.442,
0.512,0.43,1,0.428,
0.53,0.464,1,0.447,
0.518,0.444,1,0.44,
0.505,0.43,1,0.43,
0.522,0.449,1,0.446,
0.524,0.457,1,0.438,
0.513,0.438,1,0.425,
0.519,0.439,1,0.435,
0.516,0.436,1,0.432,
0.522,0.452,1,0.443,
0.51,0.433,1,0.429,
0.508,0.428,1,0.426,
0.509,0.43,1,0.426,
0.511,0.434,1,0.43,
0.508,0.433,1,0.43,
0.504,0.427,1,0.426,
0.533,0.464,1,0.462,
0.505,0.429,1,0.427,
0.509,0.443,1,0.423,
0.51,0.435,1,0.427,
0.509,0.43,1,0.428,
0.508,0.432,1,0.431,
0.522,0.446,1,0.443,
0.504,0.428,1,0.427,
0.513,0.443,1,0.433,
0.516,0.447,1,0.44,
0.519,0.443,1,0.43,
0.505,0.427,1,0.425,
0.521,0.454,1,0.439,
0.514,0.435,1,0.431,
0.509,0.428,1,0.426,
0.532,0.475,1,0.443,
0.508,0.429,1,0.428,
0.566,0.508,1,0.497,
0.517,0.444,1,0.427,
0.51,0.433,1,0.43,
0.504,0.43,1,0.429,
0.508,0.43,1,0.429,
0.515,0.434,1,0.428,
0.506,0.427,1,0.425,
0.522,0.456,1,0.438,
0.503,0.427,1,0.427,
0.514,0.45,1,0.429,
0.505,0.429,1,0.425,
0.534,0.467,1,0.445,
0.504,0.427,1,0.427,
0.518,0.447,1,0.427,
0.507,0.431,1,0.426,
0.503,0.426,1,0.425,
0.51,0.429,1,0.427,
0.513,0.435,1,0.43,
0.511,0.434,1,0.43,
0.541,0.472,1,0.47,
0.542,0.476,1,0.457,
0.511,0.434,1,0.429,
0.526,0.455,1,0.427,
0.525,0.456,1,0.454,
0.524,0.45,1,0.447,
0.533,0.46,1,0.453,
0.504,0.429,1,0.428,
0.541,0.476,1,0.475,
0.515,0.428,1,0.425,
0.538,0.468,1,0.458,
0.538,0.477,1,0.454,
0.526,0.455,1,0.454,
0.542,0.474,1,0.473,
0.502,0.424,1,0.423,
0.514,0.44,1,0.426,
0.525,0.457,1,0.449,
0.52,0.442,1,0.44,
0.507,0.428,1,0.426,
0.511,0.43,1,0.429,
0.504,0.429,1,0.428,
0.522,0.448,1,0.432,
0.523,0.455,1,0.45,
0.509,0.43,1,0.426,
0.527,0.454,1,0.449,
0.515,0.437,1,0.432,
0.514,0.442,1,0.438,
0.508,0.428,1,0.426,
0.508,0.427,1,0.425,
0.52,0.441,1,0.436,
0.502,0.424,1,0.424,
0.538,0.48,1,0.455,
0.508,0.428,1,0.425,
0.506,0.429,1,0.427,
0.505,0.424,1,0.423,
0.524,0.458,1,0.447,
0.531,0.473,1,0.454,
0.518,0.465,1,0.43,
0.531,0.464,1,0.463,
0.507,0.427,1,0.426,
0.51,0.435,1,0.432,
0.505,0.429,1,0.429,
0.508,0.429,1,0.428,
0.526,0.467,1,0.429,
0.5,0.425,1,0.424,
0.551,0.485,1,0.457,
0.529,0.463,1,0.448,
0.509,0.433,1,0.432,
0.525,0.457,1,0.451,
0.534,0.466,1,0.448,
0.511,0.432,1,0.43,
0.504,0.425,1,0.424,
0.536,0.462,1,0.456,
0.517,0.445,1,0.444,
0.521,0.453,1,0.436,
0.531,0.455,1,0.447,
0.502,0.428,1,0.427,
0.506,0.428,1,0.427,
0.502,0.425,1,0.423,
0.519,0.447,1,0.446,
0.526,0.456,1,0.443,
0.518,0.446,1,0.429,
0.506,0.426,1,0.424,
0.506,0.429,1,0.427,
0.508,0.429,1,0.428,
0.499,0.426,1,0.423,
0.526,0.452,1,0.445,
0.509,0.431,1,0.429,
0.51,0.429,1,0.427,
0.551,0.482,1,0.467,
0.523,0.455,1,0.449,
0.51,0.438,1,0.43,
0.516,0.438,1,0.427,
0.527,0.457,1,0.456,
0.512,0.438,1,0.428,
0.512,0.442,1,0.429,
0.53,0.459,1,0.451,
0.535,0.47,1,0.452,
0.531,0.454,1,0.451,
0.51,0.434,1,0.43,
0.525,0.46,1,0.435,
0.505,0.425,1,0.424,
0.506,0.426,1,0.424,
0.503,0.428,1,0.428,
0.505,0.431,1,0.43,
